Period,First Release
2022-10-01,299.47
2022-09-01,298.66
2022-08-01,296.95
2022-07-01,295.28
2022-06-01,294.35
2022-05-01,292.29
2022-04-01,290.46
2022-03-01,288.81
2022-02-01,287.88
2022-01-01,286.43
2021-12-01,284.76
2021-11-01,283.2
2021-10-01,281.7
2021-09-01,280.02
2021-08-01,279.34
2021-07-01,279.05
2021-06-01,278.14
2021-05-01,275.72
2021-04-01,273.7
2021-03-01,271.21
2021-02-01,270.3
2021-01-01,270.02
2020-12-01,270.12
2020-11-01,269.89
2020-10-01,269.3
2020-09-01,269.26
2020-08-01,268.75
2020-07-01,267.72
2020-06-01,266.06
2020-05-01,265.44
2020-04-01,265.6
2020-03-01,266.8
2020-02-01,267.07
2020-01-01,266.48
2019-12-01,265.92
2019-11-01,265.62
2019-10-01,265.01
2019-09-01,264.6
2019-08-01,264.24
2019-07-01,263.57
2019-06-01,262.8
2019-05-01,262.03
2019-04-01,261.74
2019-03-01,261.37
2019-02-01,260.99
2019-01-01,260.7
2018-12-01,260.03
2018-11-01,259.48
2018-10-01,258.94
2018-09-01,258.44
2018-08-01,258.14
2018-07-01,257.93
2018-06-01,257.3
2018-05-01,256.89
2018-04-01,256.45
2018-03-01,256.2
2018-02-01,255.75
2018-01-01,255.29
2017-12-01,254.43
2017-11-01,253.72
2017-10-01,253.43
2017-09-01,252.86
2017-08-01,252.54
2017-07-01,251.91
2017-06-01,251.63
2017-05-01,251.33
2017-04-01,251.17
2017-03-01,250.99
2017-02-01,251.3
2017-01-01,250.78
2016-12-01,249.93
2016-11-01,249.36
2016-10-01,248.98
2016-09-01,248.61
2016-08-01,248.34
2016-07-01,247.71
2016-06-01,247.5
2016-05-01,247.07
2016-04-01,246.57
2016-03-01,246.1
2016-02-01,245.92
2016-01-01,245.23
2015-12-01,244.45
2015-11-01,244.14
2015-10-01,243.7
2015-09-01,243.21
2015-08-01,242.69
2015-07-01,242.51
2015-06-01,242.19
2015-05-01,241.76
2015-04-01,241.41
2015-03-01,240.79
2015-02-01,240.25
2015-01-01,239.87
2014-12-01,239.34
2014-11-01,239.33
2014-10-01,239.16
2014-09-01,238.68
2014-08-01,238.34
2014-07-01,238.31
2014-06-01,238.08
2014-05-01,237.78
2014-04-01,237.16
2014-03-01,236.6
2014-02-01,236.12
2014-01-01,235.84
2013-12-01,235.5
2013-11-01,235.24
2013-10-01,234.88
2013-09-01,234.59
2013-08-01,234.3
2013-07-01,234.0
2013-06-01,233.64
2013-05-01,233.27
2013-04-01,232.88
2013-03-01,232.76
2013-02-01,232.51
2013-01-01,232.11
2012-12-01,231.48
2012-11-01,231.25
2012-10-01,230.99
2012-09-01,230.58
2012-08-01,230.24
2012-07-01,230.12
2012-06-01,229.92
2012-05-01,229.45
2012-04-01,228.98
2012-03-01,228.43
2012-02-01,227.91
2012-01-01,227.68
2011-12-01,227.17
2011-11-01,226.84
2011-10-01,226.44
2011-09-01,226.14
2011-08-01,226.01
2011-07-01,225.46
2011-06-01,224.96
2011-05-01,224.39
2011-04-01,223.74
2011-03-01,223.33
2011-02-01,223.03
2011-01-01,222.59
2010-12-01,222.19
2010-11-01,221.98
2010-10-01,221.76
2010-09-01,221.78
2010-08-01,221.78
2010-07-01,221.68
2010-06-01,221.39
