Period,CPI Y-o-Y change
2022-10-01,7.75
2022-09-01,8.2
2022-08-01,8.26
2022-07-01,8.52
2022-06-01,9.06
2022-05-01,8.58
2022-04-01,8.26
2022-03-01,8.54
2022-02-01,7.87
2022-01-01,7.48
2021-12-01,7.04
2021-11-01,6.81
2021-10-01,6.22
2021-09-01,5.39
2021-08-01,5.25
2021-07-01,5.37
2021-06-01,5.39
2021-05-01,4.99
2021-04-01,4.16
2021-03-01,2.62
2021-02-01,1.68
2021-01-01,1.4
2020-12-01,1.36
2020-11-01,1.17
2020-10-01,1.18
2020-09-01,1.37
2020-08-01,1.31
2020-07-01,0.99
2020-06-01,0.65
2020-05-01,0.12
2020-04-01,0.33
2020-03-01,1.54
2020-02-01,2.33
2020-01-01,2.49
2019-12-01,2.29
2019-11-01,2.05
2019-10-01,1.76
2019-09-01,1.71
2019-08-01,1.75
2019-07-01,1.81
2019-06-01,1.65
2019-05-01,1.79
2019-04-01,2
2019-03-01,1.86
2019-02-01,1.52
2019-01-01,1.55
2018-12-01,1.91
2018-11-01,2.18
2018-10-01,2.52
2018-09-01,2.28
2018-08-01,2.7
2018-07-01,2.95
2018-06-01,2.87
2018-05-01,2.8
2018-04-01,2.46
2018-03-01,2.36
2018-02-01,2.21
2018-01-01,2.07
2017-12-01,2.11
2017-11-01,2.2
2017-10-01,2.04
2017-09-01,2.23
2017-08-01,1.94
2017-07-01,1.73
2017-06-01,1.63
2017-05-01,1.87
2017-04-01,2.2
2017-03-01,2.38
2017-02-01,2.74
2017-01-01,2.5
2016-12-01,2.07
2016-11-01,1.69
2016-10-01,1.64
2016-09-01,1.46
2016-08-01,1.06
2016-07-01,0.83
2016-06-01,1
2016-05-01,1.02
2016-04-01,1.13
2016-03-01,0.85
2016-02-01,1.02
2016-01-01,1.37
2015-12-01,0.73
2015-11-01,0.5
2015-10-01,0.17
2015-09-01,-0.04
2015-08-01,0.2
2015-07-01,0.17
2015-06-01,0.12
2015-05-01,-0.04
2015-04-01,-0.2
2015-03-01,-0.07
2015-02-01,-0.03
2015-01-01,-0.09
2014-12-01,0.76
2014-11-01,1.32
2014-10-01,1.66
2014-09-01,1.66
2014-08-01,1.7
2014-07-01,1.99
2014-06-01,2.07
2014-05-01,2.13
2014-04-01,1.95
2014-03-01,1.51
2014-02-01,1.13
2014-01-01,1.58
2013-12-01,1.5
2013-11-01,1.24
2013-10-01,0.96
2013-09-01,1.18
2013-08-01,1.52
2013-07-01,1.96
2013-06-01,1.75
2013-05-01,1.36
2013-04-01,1.06
2013-03-01,1.47
2013-02-01,1.98
2013-01-01,1.59
2012-12-01,1.74
2012-11-01,1.76
2012-10-01,2.16
2012-09-01,1.99
2012-08-01,1.69
2012-07-01,1.41
2012-06-01,1.66
2012-05-01,1.7
2012-04-01,2.3
2012-03-01,2.65
2012-02-01,2.87
2012-01-01,2.93
2011-12-01,2.96
2011-11-01,3.39
2011-10-01,3.53
2011-09-01,3.87
2011-08-01,3.77
2011-07-01,3.63
2011-06-01,3.56
2011-05-01,3.57
2011-04-01,3.16
2011-03-01,2.68
2011-02-01,2.11
2011-01-01,1.63
2010-12-01,1.5
2010-11-01,1.14
2010-10-01,1.17
2010-09-01,1.14
2010-08-01,1.15
2010-07-01,1.24
2010-06-01,1.05
2010-05-01,2.02
2010-04-01,2.24
2010-03-01,2.31
2010-02-01,2.14
2010-01-01,2.63
2009-12-01,2.72
2009-11-01,1.84
2009-10-01,-0.18
2009-09-01,-1.29
2009-08-01,-1.48
2009-07-01,-2.1
2009-06-01,-1.43
2009-05-01,-1.28
2009-04-01,-0.74
2009-03-01,-0.38
2009-02-01,0.24
2009-01-01,0.03
2008-12-01,0.09
2008-11-01,1.07
2008-10-01,3.66
2008-09-01,4.94
2008-08-01,5.37
2008-07-01,5.6
2008-06-01,5.02
2008-05-01,4.18
2008-04-01,3.94
2008-03-01,3.98
2008-02-01,4.03
2008-01-01,4.28
2007-12-01,4.08
2007-11-01,4.31
2007-10-01,3.54
2007-09-01,2.76
2007-08-01,1.97
2007-07-01,2.36
2007-06-01,2.69
2007-05-01,2.69
2007-04-01,2.57
2007-03-01,2.78
2007-02-01,2.42
2007-01-01,2.08
2006-12-01,2.54
2006-11-01,1.97
2006-10-01,1.31
2006-09-01,2.06
2006-08-01,3.82
2006-07-01,4.15
2006-06-01,4.32
2006-05-01,4.17
2006-04-01,3.55
2006-03-01,3.36
2006-02-01,3.6
2006-01-01,3.99
2005-12-01,3.42
2005-11-01,3.46
2005-10-01,4.35
2005-09-01,4.69
2005-08-01,3.64
2005-07-01,3.17
2005-06-01,2.53
2005-05-01,2.8
2005-04-01,3.51
2005-03-01,3.15
2005-02-01,3.01
2005-01-01,2.97
2004-12-01,3.26
2004-11-01,3.52
2004-10-01,3.19
2004-09-01,2.54
2004-08-01,2.65
2004-07-01,2.99
2004-06-01,3.27
2004-05-01,3.05
2004-04-01,2.29
2004-03-01,1.74
2004-02-01,1.69
2004-01-01,1.93
2003-12-01,1.88
2003-11-01,1.77
2003-10-01,2.04
2003-09-01,2.32
2003-08-01,2.16
2003-07-01,2.11
2003-06-01,2.11
2003-05-01,2.06
2003-04-01,2.22
2003-03-01,3.02
2003-02-01,2.98
2003-01-01,2.6
2002-12-01,2.38
2002-11-01,2.2
2002-10-01,2.03
2002-09-01,1.51
2002-08-01,1.8
2002-07-01,1.46
2002-06-01,1.07
2002-05-01,1.18
2002-04-01,1.64
2002-03-01,1.48
2002-02-01,1.14
2002-01-01,1.14
2001-12-01,1.55
2001-11-01,1.9
2001-10-01,2.13
2001-09-01,2.65
2001-08-01,2.72
2001-07-01,2.72
2001-06-01,3.25
2001-05-01,3.62
2001-04-01,3.27
2001-03-01,2.92
2001-02-01,3.53
2001-01-01,3.73
2000-12-01,3.39
2000-11-01,3.45
2000-10-01,3.45
2000-09-01,3.45
2000-08-01,3.41
2000-07-01,3.66
2000-06-01,3.73
2000-05-01,3.19
2000-04-01,3.07
2000-03-01,3.76
2000-02-01,3.22
2000-01-01,2.74
1999-12-01,2.68
1999-11-01,2.62
1999-10-01,2.56
1999-09-01,2.63
1999-08-01,2.26
1999-07-01,2.14
1999-06-01,1.96
1999-05-01,2.09
1999-04-01,2.28
1999-03-01,1.73
1999-02-01,1.61
1999-01-01,1.67
1998-12-01,1.61
1998-11-01,1.55
1998-10-01,1.49
1998-09-01,1.49
1998-08-01,1.62
1998-07-01,1.68
1998-06-01,1.68
1998-05-01,1.69
1998-04-01,1.44
1998-03-01,1.38
1998-02-01,1.44
1998-01-01,1.57
1997-12-01,1.7
1997-11-01,1.83
1997-10-01,2.08
1997-09-01,2.15
1997-08-01,2.23
1997-07-01,2.23
1997-06-01,2.3
1997-05-01,2.23
1997-04-01,2.5
1997-03-01,2.76
1997-02-01,3.03
1997-01-01,3.04
1996-12-01,3.32
1996-11-01,3.26
1996-10-01,2.99
1996-09-01,3
1996-08-01,2.88
1996-07-01,2.95
1996-06-01,2.75
1996-05-01,2.89
1996-04-01,2.9
1996-03-01,2.84
1996-02-01,2.65
1996-01-01,2.73
1995-12-01,2.54
1995-11-01,2.61
1995-10-01,2.81
1995-09-01,2.54
1995-08-01,2.62
1995-07-01,2.76
1995-06-01,3.04
1995-05-01,3.19
1995-04-01,3.05
1995-03-01,2.85
1995-02-01,2.86
1995-01-01,2.8
1994-12-01,2.67
1994-11-01,2.67
1994-10-01,2.61
1994-09-01,2.96
1994-08-01,2.9
1994-07-01,2.77
1994-06-01,2.49
1994-05-01,2.29
1994-04-01,2.36
1994-03-01,2.51
1994-02-01,2.52
1994-01-01,2.52
1993-12-01,2.75
1993-11-01,2.68
1993-10-01,2.75
1993-09-01,2.69
1993-08-01,2.77
1993-07-01,2.78
1993-06-01,3
1993-05-01,3.22
1993-04-01,3.23
1993-03-01,3.09
1993-02-01,3.25
1993-01-01,3.26
1992-12-01,2.9
1992-11-01,3.05
1992-10-01,3.2
1992-09-01,2.99
1992-08-01,3.15
1992-07-01,3.16
1992-06-01,3.09
1992-05-01,3.02
1992-04-01,3.18
1992-03-01,3.19
1992-02-01,2.82
1992-01-01,2.6
1991-12-01,3.06
1991-11-01,2.99
1991-10-01,2.92
1991-09-01,3.39
1991-08-01,3.8
1991-07-01,4.45
1991-06-01,4.7
1991-05-01,4.95
1991-04-01,4.89
1991-03-01,4.9
1991-02-01,5.31
1991-01-01,5.65
1990-12-01,6.11
1990-11-01,6.27
1990-10-01,6.29
1990-09-01,6.16
1990-08-01,5.62
1990-07-01,4.82
1990-06-01,4.67
1990-05-01,4.36
1990-04-01,4.71
1990-03-01,5.23
1990-02-01,5.26
1990-01-01,5.2
1989-12-01,4.65
1989-11-01,4.66
1989-10-01,4.49
1989-09-01,4.34
1989-08-01,4.71
1989-07-01,4.98
1989-06-01,5.17
1989-05-01,5.36
1989-04-01,5.12
1989-03-01,4.98
1989-02-01,4.83
1989-01-01,4.67
1988-12-01,4.42
1988-11-01,4.25
1988-10-01,4.25
1988-09-01,4.17
1988-08-01,4.02
1988-07-01,4.13
1988-06-01,3.96
1988-05-01,3.89
1988-04-01,3.9
1988-03-01,3.93
1988-02-01,3.94
1988-01-01,4.05
1987-12-01,4.43
1987-11-01,4.53
1987-10-01,4.53
1987-09-01,4.36
1987-08-01,4.28
1987-07-01,3.93
1987-06-01,3.65
1987-05-01,3.86
1987-04-01,3.78
1987-03-01,3.03
1987-02-01,2.1
1987-01-01,1.46
1986-12-01,1.1
1986-11-01,1.28
1986-10-01,1.47
1986-09-01,1.75
1986-08-01,1.57
1986-07-01,1.58
1986-06-01,1.77
1986-05-01,1.49
1986-04-01,1.59
