Period,GDP (Quarterly)
2022-09-01,20021700
2022-06-01,19895271
2022-03-01,19924100
2021-12-01,20006181
2021-09-01,19672600
2021-06-01,19544200
2021-03-01,19216224
2020-12-01,18924262
2020-09-01,18743720
2020-06-01,17378712
2020-03-01,18989877
2019-12-01,19215691
2019-09-01,19130932
2019-06-01,18962175
2019-03-01,18835411
2018-12-01,18733741
2018-09-01,18699748
2018-06-01,18565697
2018-03-01,18437127
2017-12-01,18310300
2017-09-01,18127994
2017-06-01,17979218
2017-03-01,17889094
2016-12-01,17812560
2016-09-01,17724489
2016-06-01,17618581
2016-03-01,17565465
2015-12-01,17462579
2015-09-01,17437080
2015-06-01,17380875
2015-03-01,17280647
2014-12-01,17141235
2014-09-01,17064616
2014-06-01,16868109
2014-03-01,16654247
2013-12-01,16712760
2013-09-01,16594743
2013-06-01,16464402
2013-03-01,16441485
2012-12-01,16300035
2012-09-01,16282151
2012-06-01,16253726
2012-03-01,16179968
2011-12-01,16048702
2011-09-01,15870684
2011-06-01,15876839
2011-03-01,15769911
2010-12-01,15807995
2010-09-01,15726282
2010-06-01,15605628
2010-03-01,15456059
2009-12-01,15379155
2009-09-01,15216647
2009-06-01,15161772
2009-03-01,15187475
2008-12-01,15366607
2008-09-01,15709562
2008-06-01,15792773
2008-03-01,15702906
2007-12-01,15767146
2007-09-01,15671605
2007-06-01,15577779
2007-03-01,15478956
2006-12-01,15433643
2006-09-01,15304517
2006-06-01,15281525
2006-03-01,15244088
2005-12-01,15041232
2005-09-01,14956291
2005-06-01,14839707
2005-03-01,14767846
2004-12-01,14605595
2004-09-01,14457832
2004-06-01,14323017
2004-03-01,14212340
2003-12-01,14131379
2003-09-01,13970157
2003-06-01,13741107
2003-03-01,13619434
2002-12-01,13549421
2002-09-01,13531741
2002-06-01,13477356
2002-03-01,13394910
2001-12-01,13284881
2001-09-01,13248142
2001-06-01,13301394
2001-03-01,13219251
2000-12-01,13262250
2000-09-01,13183890
2000-06-01,13170749
2000-03-01,12935252
1999-12-01,12888281
1999-09-01,12679977
1999-06-01,12514408
1999-03-01,12410778
1998-12-01,12294737
1998-09-01,12099191
1998-06-01,11949492
1998-03-01,11839876
1997-12-01,11722722
1997-09-01,11622911
1997-06-01,11479330
1997-03-01,11291665
1996-12-01,11219238
1996-09-01,11103935
1996-06-01,11005217
1996-03-01,10824674
1995-12-01,10744203
1995-09-01,10671738
1995-06-01,10581723
1995-03-01,10550251
1994-12-01,10512962
1994-09-01,10393898
1994-06-01,10333495
1994-03-01,10195338
1993-12-01,10097362
1993-09-01,9961873
1993-06-01,9914565
1993-03-01,9857185
1992-12-01,9840753
1992-09-01,9739185
1992-06-01,9643893
1992-03-01,9540444
1991-12-01,9427581
1991-09-01,9394834
1991-06-01,9347597
1991-03-01,9275276
1990-12-01,9318876
1990-09-01,9404494
1990-06-01,9398243
1990-03-01,9364259
1989-12-01,9263033
1989-09-01,9244816
1989-06-01,9176827
1989-03-01,9107314
1988-12-01,9015661
1988-09-01,8897107
1988-06-01,8845280
1988-03-01,8730569
1987-12-01,8685694
1987-09-01,8539075
1987-06-01,8465630
1987-03-01,8375274
1986-12-01,8313338
1986-09-01,8268935
1986-06-01,8190552
1986-03-01,8153829
1985-12-01,8078415
1985-09-01,8018809
1985-06-01,7898194
1985-03-01,7829260
1984-12-01,7754117
1984-09-01,7690985
1984-06-01,7617547
1984-03-01,7488167
1983-12-01,7344597
1983-09-01,7194504
1983-06-01,7053500
1983-03-01,6896561
1982-12-01,6806857
1982-09-01,6804139
1982-06-01,6830251
1982-03-01,6799233
1981-12-01,6906529
1981-09-01,6982609
1981-06-01,6899980
1981-03-01,6951495
1980-12-01,6817903
1980-09-01,6693082
1980-06-01,6701046
1980-03-01,6842024
1979-12-01,6820572
1979-09-01,6803558
1979-06-01,6753389
1979-03-01,6746176
1978-12-01,6734069
1978-09-01,6644754
1978-06-01,6578605
1978-03-01,6333848
1977-12-01,6313697
1977-09-01,6313559
1977-06-01,6201659
1977-03-01,6083391
1976-12-01,6012356
1976-09-01,5969089
1976-06-01,5936515
1976-03-01,5893276
1975-12-01,5763665
1975-09-01,5687087
1975-06-01,5591382
1975-03-01,5551713
1974-12-01,5620126
1974-09-01,5642025
1974-06-01,5695859
1974-03-01,5682353
1973-12-01,5731632
1973-09-01,5677738
1973-06-01,5707755
1973-03-01,5646286
1972-12-01,5509926
1972-09-01,5419184
1972-06-01,5368485
1972-03-01,5249337
1971-12-01,5154547
1971-09-01,5142422
1971-06-01,5100447
1971-03-01,5072996
1970-12-01,4938857
1970-09-01,4992357
1970-06-01,4946770
1970-03-01,4939759
1969-12-01,4947104
1969-09-01,4971349
1969-06-01,4938728
1969-03-01,4923760
1968-12-01,4847885
1968-09-01,4828892
1968-06-01,4791758
1968-03-01,4713013
1967-12-01,4618812
1967-09-01,4584246
1967-06-01,4541280
1967-03-01,4538498
1966-12-01,4498660
1966-09-01,4462053
1966-06-01,4424581
1966-03-01,4409518
1965-12-01,4304731
1965-09-01,4207782
1965-06-01,4116267
1965-03-01,4064915
1964-12-01,3968878
1964-09-01,3956657
1964-06-01,3895793
1964-03-01,3853835
1963-12-01,3774264
1963-09-01,3749681
1963-06-01,3669020
1963-03-01,3628306
1962-12-01,3589128
1962-09-01,3577362
1962-06-01,3533947
1962-03-01,3502298
1961-12-01,3440924
1961-09-01,3374742
1961-06-01,3311181
1961-03-01,3255914
1960-12-01,3234087
1960-09-01,3276133
1960-06-01,3260177
1960-03-01,3277847
1959-12-01,3205790
1959-09-01,3196683
1959-06-01,3194429
1959-03-01,3123978
1958-12-01,3065141
1958-09-01,2995112
