Period,First Release
2022-11-19,240000.0
2022-11-12,222000.0
2022-11-05,225000.0
2022-10-29,217000.0
2022-10-22,217000.0
2022-10-15,214000.0
2022-10-08,228000.0
2022-10-01,219000.0
2022-09-24,193000.0
2022-09-17,213000.0
2022-09-10,213000.0
2022-09-03,222000.0
2022-08-27,232000.0
2022-08-20,243000.0
2022-08-13,250000.0
2022-08-06,262000.0
2022-07-30,260000.0
2022-07-23,256000.0
2022-07-16,251000.0
2022-07-09,244000.0
2022-07-02,235000.0
2022-06-25,231000.0
2022-06-18,229000.0
2022-06-11,229000.0
2022-06-04,229000.0
2022-05-28,200000.0
2022-05-21,210000.0
2022-05-14,218000.0
2022-05-07,203000.0
2022-04-30,200000.0
2022-04-23,180000.0
2022-04-16,184000.0
2022-04-09,185000.0
2022-04-02,166000.0
2022-03-26,202000.0
2022-03-19,187000.0
2022-03-12,214000.0
2022-03-05,227000.0
2022-02-26,215000.0
2022-02-19,232000.0
2022-02-12,248000.0
2022-02-05,223000.0
2022-01-29,238000.0
2022-01-22,260000.0
2022-01-15,286000.0
2022-01-08,230000.0
2022-01-01,207000.0
2021-12-25,198000.0
2021-12-18,205000.0
2021-12-11,206000.0
2021-12-04,184000.0
2021-11-27,222000.0
2021-11-20,199000.0
2021-11-13,268000.0
2021-11-06,267000.0
2021-10-30,269000.0
2021-10-23,281000.0
2021-10-16,290000.0
2021-10-09,293000.0
2021-10-02,326000.0
2021-09-25,362000.0
2021-09-18,351000.0
2021-09-11,332000.0
2021-09-04,310000.0
2021-08-28,340000.0
2021-08-21,353000.0
2021-08-14,348000.0
2021-08-07,375000.0
2021-07-31,385000.0
2021-07-24,400000.0
2021-07-17,419000.0
2021-07-10,360000.0
2021-07-03,373000.0
2021-06-26,364000.0
2021-06-19,411000.0
2021-06-12,412000.0
2021-06-05,376000.0
2021-05-29,385000.0
2021-05-22,406000.0
2021-05-15,444000.0
2021-05-08,473000.0
2021-05-01,498000.0
2021-04-24,553000.0
2021-04-17,547000.0
2021-04-10,576000.0
2021-04-03,744000.0
2021-03-27,719000.0
2021-03-20,684000.0
2021-03-13,770000.0
2021-03-06,712000.0
2021-02-27,745000.0
2021-02-20,730000.0
2021-02-13,861000.0
2021-02-06,793000.0
2021-01-30,779000.0
2021-01-23,847000.0
2021-01-16,900000.0
2021-01-09,965000.0
2021-01-02,787000.0
2020-12-26,787000.0
2020-12-19,803000.0
2020-12-12,885000.0
2020-12-05,853000.0
2020-11-28,712000.0
2020-11-21,778000.0
2020-11-14,742000.0
2020-11-07,709000.0
2020-10-31,751000.0
2020-10-24,751000.0
2020-10-17,787000.0
2020-10-10,898000.0
2020-10-03,840000.0
2020-09-26,837000.0
2020-09-19,870000.0
2020-09-12,860000.0
2020-09-05,884000.0
2020-08-29,881000.0
2020-08-22,1006000.0
2020-08-15,1106000.0
2020-08-08,963000.0
2020-08-01,1186000.0
2020-07-25,1434000.0
2020-07-18,1416000.0
2020-07-11,1300000.0
2020-07-04,1314000.0
2020-06-27,1427000.0
2020-06-20,1480000.0
2020-06-13,1508000.0
2020-06-06,1542000.0
2020-05-30,1877000.0
2020-05-23,2123000.0
2020-05-16,2438000.0
2020-05-09,2981000.0
2020-05-02,3169000.0
2020-04-25,3839000.0
2020-04-18,4427000.0
2020-04-11,5245000.0
2020-04-04,6606000.0
2020-03-28,6648000.0
2020-03-21,3283000.0
2020-03-14,281000.0
2020-03-07,211000.0
2020-02-29,216000.0
2020-02-22,219000.0
2020-02-15,210000.0
2020-02-08,205000.0
2020-02-01,202000.0
2020-01-25,216000.0
2020-01-18,211000.0
2020-01-11,204000.0
2020-01-04,214000.0
2019-12-28,222000.0
2019-12-21,222000.0
2019-12-14,234000.0
2019-12-07,252000.0
2019-11-30,203000.0
2019-11-23,213000.0
2019-11-16,227000.0
2019-11-09,225000.0
2019-11-02,211000.0
2019-10-26,218000.0
2019-10-19,212000.0
2019-10-12,214000.0
2019-10-05,210000.0
2019-09-28,219000.0
2019-09-21,213000.0
2019-09-14,208000.0
2019-09-07,204000.0
2019-08-31,217000.0
2019-08-24,215000.0
2019-08-17,209000.0
2019-08-10,220000.0
2019-08-03,209000.0
2019-07-27,215000.0
2019-07-20,206000.0
2019-07-13,216000.0
2019-07-06,209000.0
2019-06-29,221000.0
2019-06-22,227000.0
2019-06-15,216000.0
2019-06-08,222000.0
2019-06-01,218000.0
2019-05-25,215000.0
2019-05-18,211000.0
2019-05-11,212000.0
2019-05-04,228000.0
2019-04-27,230000.0
2019-04-20,230000.0
2019-04-13,192000.0
2019-04-06,196000.0
2019-03-30,202000.0
2019-03-23,211000.0
2019-03-16,221000.0
2019-03-09,229000.0
2019-03-02,223000.0
2019-02-23,225000.0
2019-02-16,216000.0
2019-02-09,239000.0
2019-02-02,234000.0
2019-01-26,253000.0
2019-01-19,199000.0
2019-01-12,213000.0
2019-01-05,216000.0
2018-12-29,231000.0
2018-12-22,216000.0
2018-12-15,214000.0
2018-12-08,206000.0
2018-12-01,231000.0
2018-11-24,234000.0
2018-11-17,224000.0
2018-11-10,216000.0
2018-11-03,214000.0
2018-10-27,214000.0
2018-10-20,215000.0
2018-10-13,210000.0
2018-10-06,214000.0
2018-09-29,207000.0
2018-09-22,214000.0
2018-09-15,201000.0
2018-09-08,204000.0
2018-09-01,203000.0
2018-08-25,213000.0
2018-08-18,210000.0
2018-08-11,212000.0
2018-08-04,213000.0
2018-07-28,218000.0
2018-07-21,217000.0
2018-07-14,207000.0
2018-07-07,214000.0
2018-06-30,231000.0
2018-06-23,227000.0
2018-06-16,218000.0
2018-06-09,218000.0
2018-06-02,222000.0
2018-05-26,221000.0
2018-05-19,234000.0
2018-05-12,222000.0
2018-05-05,211000.0
2018-04-28,211000.0
2018-04-21,209000.0
2018-04-14,232000.0
2018-04-07,233000.0
2018-03-31,242000.0
2018-03-24,215000.0
2018-03-17,229000.0
2018-03-10,226000.0
2018-03-03,231000.0
2018-02-24,210000.0
2018-02-17,222000.0
2018-02-10,230000.0
2018-02-03,221000.0
2018-01-27,230000.0
2018-01-20,233000.0
2018-01-13,220000.0
2018-01-06,261000.0
2017-12-30,250000.0
2017-12-23,245000.0
2017-12-16,245000.0
2017-12-09,225000.0
2017-12-02,236000.0
2017-11-25,238000.0
2017-11-18,239000.0
2017-11-11,249000.0
2017-11-04,239000.0
2017-10-28,229000.0
2017-10-21,233000.0
2017-10-14,222000.0
2017-10-07,243000.0
2017-09-30,260000.0
2017-09-23,272000.0
2017-09-16,259000.0
2017-09-09,284000.0
2017-09-02,298000.0
2017-08-26,236000.0
2017-08-19,234000.0
2017-08-12,232000.0
2017-08-05,240000.0
2017-07-29,240000.0
2017-07-22,244000.0
2017-07-15,233000.0
2017-07-08,247000.0
2017-07-01,248000.0
2017-06-24,244000.0
2017-06-17,241000.0
2017-06-10,237000.0
2017-06-03,245000.0
