Period,GDP,Simple Growth Rate %,Y-o-Y Change %,Annual % Rate,CPI Y-o-Y change,Unemployment rate,S&P 500 (^SPX) - Index Value,Monthly Home price index,Initial Jobless Claim,Core CPI Index,Consumer Credit,Non-farm Payroll,Chicago PMI
2022-11-01,void,void,void,void,void,void,3888.26301276473,void,229000.0,void,void,void,void
2022-10-01,void,void,void,void,7.75,3.7,3726.0505154390335,void,219000.0,299.47,void,void,45.2
2022-09-01,20021700.0,0.0064,0.0177,0.025699999999999997,8.2,3.5,3850.5218021268934,void,210250.0,298.66,24980000000.0,24.98,45.7
2022-08-01,void,void,void,void,8.26,3.7,4158.5631338801295,392.0,246750.0,296.95,32240000000.0,32.24,52.2
2022-07-01,void,void,void,void,8.52,3.5,3911.730187573202,395.2,249200.0,295.28,23810000000.0,23.81,52.1
2022-06-01,19895271.0,-0.0014000000000000002,0.018000000000000002,-0.0058,9.06,3.6,3898.946993554171,398.0,229500.0,294.35,40150000000.0,40.15,56.0
2022-05-01,void,void,void,void,8.58,3.6,4040.3598308431738,398.1,207750.0,292.29,22350000000.0,22.35,60.3
2022-04-01,void,void,void,void,8.26,3.6,4391.295005742777,392.9,183000.0,290.46,38070000000.0,38.07,56.4
2022-03-01,19924100.0,-0.0040999999999999995,0.0368,-0.0163,8.54,3.6,4391.264982277523,386.5,207500.0,288.81,52430000000.0,52.43,62.9
2022-02-01,void,void,void,void,7.87,3.8,4435.980293322856,381.4,229500.0,287.88,41820000000.0,41.82,56.3
2022-01-01,void,void,void,void,7.48,4,4573.814823771528,373.3,244200.0,286.43,6840000000.0,6.84,65.2
2021-12-01,20006181.0,0.017,0.0572,0.0696,7.04,3.9,4674.772696422577,367.2,198250.0,284.76,18900000000.0,18.9,63.1
2021-11-01,void,void,void,void,6.81,4.2,4667.38672972238,362.4,239000.0,283.2,39990000000.0,39.99,61.8
2021-10-01,void,void,void,void,6.22,4.6,4460.706522416193,358.3,291800.0,281.7,16900000000.0,16.9,68.4
2021-09-01,19672600.0,0.0066,0.0496,0.0265,5.39,4.7,4445.543323157054,354.6,338750.0,280.02,29910000000.0,29.91,64.7
2021-08-01,void,void,void,void,5.25,5.2,4454.206783418321,351.7,354000.0,279.34,14380000000.0,14.38,66.8
2021-07-01,void,void,void,void,5.37,5.4,4363.712751328414,348.4,387400.0,279.05,17000000000.0,17.0,73.4
2021-06-01,19544200.0,0.0171,0.1246,0.07,5.39,5.9,4238.489334229291,343.3,390750.0,278.14,37690000000.0,37.69,66.1
2021-05-01,void,void,void,void,4.99,5.8,4167.8487928618215,337.4,441200.0,275.72,35280000000.0,35.28,75.2
2021-04-01,void,void,void,void,4.16,6,4141.177074988718,331.2,605000.0,273.7,18610000000.0,18.61,72.1
2021-03-01,19216224.0,0.0154,0.011899999999999999,0.0632,2.62,6,3910.507507792875,324.9,721250.0,271.21,25840000000.0,25.84,66.3
2021-02-01,void,void,void,void,1.68,6.2,3883.431615452678,319.7,782250.0,270.3,27580000000.0,27.58,59.5
2021-01-01,void,void,void,void,1.4,6.4,3793.7474281235336,316.7,855600.0,270.02,-1310000000.0,-1.31,63.8
2020-12-01,18924262.0,0.0096,-0.0152,0.0391,1.36,6.7,3695.3104536167434,313.5,832000.0,270.12,9730000000.0,9.73,59.5
2020-11-01,void,void,void,void,1.17,6.7,3548.9921917468646,310.1,735250.0,269.89,15270000000.0,15.27,58.2
2020-10-01,void,void,void,void,1.18,6.9,3418.700903692111,307.0,805400.0,269.3,7230000000.0,7.23,61.1
2020-09-01,18743720.0,0.0785,-0.0202,0.3532,1.37,7.9,3365.5167163672822,302.6,862750.0,269.26,16210000000.0,16.21,62.4
2020-08-01,void,void,void,void,1.31,8.4,3391.7103357845267,297.7,1028400.0,268.75,-7220000000.0,-7.22,51.2
2020-07-01,void,void,void,void,0.99,10.2,3207.619598463251,293.0,1366000.0,267.72,12250000000.0,12.25,51.9
2020-06-01,17378712.0,-0.0848,-0.08349999999999999,-0.2986,0.65,11,3104.6603340239312,289.9,1489250.0,266.06,8950000000.0,8.95,36.6
2020-05-01,void,void,void,void,0.12,13.2,2919.6144503508076,287.3,2517600.0,265.44,-18280000000.0,-18.28,32.3
2020-04-01,void,void,void,void,0.33,14.7,2761.9757439233804,288.3,5029250.0,265.6,-68780000000.0,-68.78,35.4
