Period,Monthly Home price index
2022-08-01,392.0
2022-07-01,395.2
2022-06-01,398.0
2022-05-01,398.1
2022-04-01,392.9
2022-03-01,386.5
2022-02-01,381.4
2022-01-01,373.3
2021-12-01,367.2
2021-11-01,362.4
2021-10-01,358.3
2021-09-01,354.6
2021-08-01,351.7
2021-07-01,348.4
2021-06-01,343.3
2021-05-01,337.4
2021-04-01,331.2
2021-03-01,324.9
2021-02-01,319.7
2021-01-01,316.7
2020-12-01,313.5
2020-11-01,310.1
2020-10-01,307.0
2020-09-01,302.6
2020-08-01,297.7
2020-07-01,293.0
2020-06-01,289.9
2020-05-01,287.3
2020-04-01,288.3
2020-03-01,287.9
2020-02-01,287.0
2020-01-01,284.4
2019-12-01,283.0
2019-11-01,281.2
2019-10-01,280.2
2019-09-01,279.2
2019-08-01,277.4
2019-07-01,276.9
2019-06-01,275.6
2019-05-01,275.0
2019-04-01,274.7
2019-03-01,273.4
2019-02-01,272.8
2019-01-01,272.0
2018-12-01,270.2
2018-11-01,269.2
2018-10-01,267.9
2018-09-01,266.9
2018-08-01,266.0
2018-07-01,265.0
2018-06-01,264.0
2018-05-01,263.3
2018-04-01,262.5
2018-03-01,261.7
2018-02-01,261.1
2018-01-01,259.3
2017-12-01,256.9
2017-11-01,256.0
2017-10-01,254.7
2017-09-01,253.0
2017-08-01,251.8
2017-07-01,249.8
2017-06-01,249.3
2017-05-01,249.2
2017-04-01,248.2
2017-03-01,246.2
2017-02-01,244.8
2017-01-01,242.6
2016-12-01,242.6
2016-11-01,241.3
2016-10-01,240.2
2016-09-01,239.2
2016-08-01,237.9
2016-07-01,236.1
2016-06-01,234.8
2016-05-01,234.3
2016-04-01,233.8
2016-03-01,233.1
2016-02-01,231.4
2016-01-01,230.8
2015-12-01,229.7
2015-11-01,228.8
2015-10-01,227.5
2015-09-01,226.5
2015-08-01,224.9
2015-07-01,224.5
2015-06-01,223.4
2015-05-01,222.8
2015-04-01,221.7
2015-03-01,221.0
2015-02-01,220.5
2015-01-01,219.0
2014-12-01,218.6
2014-11-01,216.9
2014-10-01,215.4
2014-09-01,214.0
2014-08-01,214.0
2014-07-01,212.7
2014-06-01,212.7
2014-05-01,212.4
2014-04-01,211.4
2014-03-01,211.6
2014-02-01,210.0
2014-01-01,209.1
2013-12-01,208.4
2013-11-01,207.1
2013-10-01,207.2
2013-09-01,206.4
2013-08-01,205.9
2013-07-01,205.5
2013-06-01,203.4
2013-05-01,201.8
2013-04-01,200.8
2013-03-01,199.1
2013-02-01,196.4
2013-01-01,194.6
2012-12-01,193.8
2012-11-01,192.8
2012-10-01,191.6
2012-09-01,191.1
2012-08-01,191.2
2012-07-01,190.1
2012-06-01,189.8
2012-05-01,188.1
2012-04-01,186.8
2012-03-01,185.6
2012-02-01,182.5
2012-01-01,182.9
2011-12-01,184.2
2011-11-01,183.8
2011-10-01,183.0
2011-09-01,184.4
2011-08-01,183.0
2011-07-01,184.7
2011-06-01,183.7
2011-05-01,181.8
2011-04-01,182.4
2011-03-01,181.3
2011-02-01,181.8
2011-01-01,186.5
2010-12-01,188.5
2010-11-01,190.0
2010-10-01,190.8
2010-09-01,190.5
2010-08-01,192.8
2010-07-01,192.4
2010-06-01,195.2
2010-05-01,196.0
2010-04-01,194.7
2010-03-01,193.8
2010-02-01,193.7
2010-01-01,194.0
2009-12-01,196.1
2009-11-01,200.4
2009-10-01,199.4
2009-09-01,198.9
2009-08-01,199.6
2009-07-01,200.1
2009-06-01,200.1
2009-05-01,199.8
2009-04-01,198.6
2009-03-01,199.3
2009-02-01,202.8
2009-01-01,202.7
2008-12-01,199.8
2008-11-01,200.7
2008-10-01,204.5
2008-09-01,206.8
2008-08-01,210.1
2008-07-01,212.0
