Period,Non-farm Payroll
2022-09-01,24.98
2022-08-01,32.24
2022-07-01,23.81
2022-06-01,40.15
2022-05-01,22.35
2022-04-01,38.07
2022-03-01,52.43
2022-02-01,41.82
2022-01-01,6.84
2021-12-01,18.9
2021-11-01,39.99
2021-10-01,16.9
2021-09-01,29.91
2021-08-01,14.38
2021-07-01,17.0
2021-06-01,37.69
2021-05-01,35.28
2021-04-01,18.61
2021-03-01,25.84
2021-02-01,27.58
2021-01-01,-1.31
2020-12-01,9.73
2020-11-01,15.27
2020-10-01,7.23
2020-09-01,16.21
2020-08-01,-7.22
2020-07-01,12.25
2020-06-01,8.95
2020-05-01,-18.28
2020-04-01,-68.78
2020-03-01,-12.04
2020-02-01,22.33
2020-01-01,12.02
2019-12-01,22.06
2019-11-01,12.51
2019-10-01,18.91
2019-09-01,9.51
2019-08-01,17.9
2019-07-01,23.29
2019-06-01,14.6
2019-05-01,17.09
2019-04-01,17.5
2019-03-01,10.28
2019-02-01,15.19
2019-01-01,17.05
2018-12-01,16.55
2018-11-01,22.15
2018-10-01,25.38
2018-09-01,10.92
2018-08-01,20.08
2018-07-01,16.64
2018-06-01,10.21
2018-05-01,24.56
2018-04-01,9.26
2018-03-01,11.62
2018-02-01,10.6
2018-01-01,13.91
2017-12-01,18.45
2017-11-01,27.95
2017-10-01,20.52
2017-09-01,20.83
2017-08-01,13.06
2017-07-01,18.5
2017-06-01,12.4
2017-05-01,18.41
2017-04-01,8.2
2017-03-01,16.43
2017-02-01,15.21
2017-01-01,8.79
2016-12-01,14.16
2016-11-01,24.53
2016-10-01,16.02
2016-09-01,19.29
2016-08-01,25.87
2016-07-01,17.71
2016-06-01,12.32
2016-05-01,22.16
2016-04-01,9.21
2016-03-01,29.67
2016-02-01,17.22
2016-01-01,10.54
2015-12-01,21.27
2015-11-01,13.95
2015-10-01,15.98
2015-09-01,28.92
2015-08-01,16.02
2015-07-01,19.1
2015-06-01,20.74
2015-05-01,16.09
2015-04-01,20.54
2015-03-01,20.52
2015-02-01,15.52
2015-01-01,11.56
2014-12-01,14.75
2014-11-01,14.08
2014-10-01,13.23
2014-09-01,15.92
2014-08-01,13.52
2014-07-01,26.01
2014-06-01,17.26
2014-05-01,19.6
2014-04-01,26.85
2014-03-01,17.53
2014-02-01,16.49
2014-01-01,13.7
2013-12-01,18.76
2013-11-01,12.32
2013-10-01,18.19
2013-09-01,13.74
2013-08-01,13.63
2013-07-01,10.44
2013-06-01,13.8
2013-05-01,19.6
2013-04-01,11.1
2013-03-01,7.97
2013-02-01,18.14
2013-01-01,16.15
2012-12-01,14.59
2012-11-01,16.05
2012-10-01,14.2
2012-09-01,11.36
2012-08-01,18.12
2012-07-01,-3.28
2012-06-01,6.46
2012-05-01,17.12
2012-04-01,6.5
2012-03-01,21.36
2012-02-01,8.73
2012-01-01,17.78
2011-12-01,19.31
2011-11-01,20.37
2011-10-01,7.65
2011-09-01,7.39
2011-08-01,-9.5
2011-07-01,11.97
2011-06-01,15.53
2011-05-01,5.08
2011-04-01,6.25
2011-03-01,6.02
2011-02-01,7.62
2011-01-01,5.01
2010-12-01,6.1
2010-11-01,1.35
2010-10-01,3.4
2010-09-01,2.15
2010-08-01,-3.34
2010-07-01,-3.63
2010-06-01,-1.34
2010-05-01,-9.15
2010-04-01,1.0
2010-03-01,2.0
2010-02-01,-11.5
2010-01-01,5.0
2009-12-01,-1.8
2009-11-01,-17.5
2009-10-01,-3.5
2009-09-01,-14.8
2009-08-01,-12.0
2009-07-01,-21.5
2009-06-01,-10.3
2009-05-01,-3.3
2009-04-01,-15.7
2009-03-01,-11.1
2009-02-01,-7.4
2009-01-01,1.8
2008-12-01,-6.6
2008-11-01,-8.0
2008-10-01,-3.6
2008-09-01,6.9
2008-08-01,-7.88
2008-07-01,4.56
2008-06-01,14.33
2008-05-01,7.78
2008-04-01,8.95
2008-03-01,15.29
2008-02-01,5.16
2008-01-01,6.9
2007-12-01,4.5
2007-11-01,15.4
2007-10-01,4.71
2007-09-01,3.75
2007-08-01,12.18
2007-07-01,7.5
2007-06-01,13.1
2007-05-01,12.9
2007-04-01,2.6
2007-03-01,13.46
2007-02-01,2.97
2007-01-01,6.44
2006-12-01,6.01
2006-11-01,12.33
2006-10-01,-1.2
2006-09-01,-1.2
2006-08-01,5.0
2006-07-01,5.54
2006-06-01,10.27
2006-05-01,4.42
2006-04-01,10.61
2006-03-01,2.52
2006-02-01,3.26
2006-01-01,3.94
2005-12-01,3.35
2005-11-01,-0.65
2005-10-01,-7.2
2005-09-01,-0.6
2005-08-01,4.88
2005-07-01,4.39
2005-06-01,14.51
2005-05-01,-3.02
2005-04-01,1.3
2005-03-01,5.5
2005-02-01,5.6
2005-01-01,11.5
2004-12-01,3.1
2004-11-01,-8.7
2004-10-01,7.7
2004-09-01,9.8
2004-08-01,-2.4
2004-07-01,10.9
2004-06-01,6.6
2004-05-01,8.2
2004-04-01,3.9
