Period,S&P 500 index
2022-11-01,3888.26301276473
2022-10-01,3726.0505154390335
2022-09-01,3850.5218021268934
2022-08-01,4158.5631338801295
2022-07-01,3911.730187573202
2022-06-01,3898.946993554171
2022-05-01,4040.3598308431738
2022-04-01,4391.295005742777
2022-03-01,4391.264982277523
2022-02-01,4435.980293322856
2022-01-01,4573.814823771528
2021-12-01,4674.772696422577
2021-11-01,4667.38672972238
2021-10-01,4460.706522416193
2021-09-01,4445.543323157054
2021-08-01,4454.206783418321
2021-07-01,4363.712751328414
2021-06-01,4238.489334229291
2021-05-01,4167.8487928618215
2021-04-01,4141.177074988718
2021-03-01,3910.507507792875
2021-02-01,3883.431615452678
2021-01-01,3793.7474281235336
2020-12-01,3695.3104536167434
2020-11-01,3548.9921917468646
2020-10-01,3418.700903692111
2020-09-01,3365.5167163672822
2020-08-01,3391.7103357845267
2020-07-01,3207.619598463251
2020-06-01,3104.6603340239312
2020-05-01,2919.6144503508076
2020-04-01,2761.9757439233804
2020-03-01,2652.392827369858
2020-02-01,3277.3139711279823
2020-01-01,3278.203490584896
2019-12-01,3176.749305649163
2019-11-01,3104.903969067806
2019-10-01,2977.675945047988
2019-09-01,2982.1550321347977
2019-08-01,2897.4981329061116
2019-07-01,2996.1138286493456
2019-06-01,2890.1662214103494
2019-05-01,2854.706237024494
2019-04-01,2903.8009536819854
2019-03-01,2803.9830600812734
2019-02-01,2754.8646377540545
2019-01-01,2607.39082345099
2018-12-01,2567.306760319462
2018-11-01,2723.229515258611
2018-10-01,2785.4648783235784
2018-09-01,2901.500251061937
2018-08-01,2857.8209453042296
2018-07-01,2793.644122687648
2018-06-01,2754.3525409622102
2018-05-01,2701.493531000587
2018-04-01,2653.6238607567657
2018-03-01,2702.7742885762077
2018-02-01,2705.1546934854614
2018-01-01,2789.804027533222
2017-12-01,2664.3394117341168
2017-11-01,2593.606269430073
2017-10-01,2556.9974338804377
2017-09-01,2492.8416942821677
2017-08-01,2456.2218355744403
2017-07-01,2454.1026271462647
2017-06-01,2433.984309220072
2017-05-01,2395.345372209512
2017-04-01,2359.309161265841
2017-03-01,2366.822459594312
2017-02-01,2329.911285379702
2017-01-01,2275.115785004088
2016-12-01,2246.6291132901074
2016-11-01,2164.9866307325956
2016-10-01,2143.020615864881
2016-09-01,2157.6909258353235
2016-08-01,2177.4814186761996
2016-07-01,2148.9014113331523
2016-06-01,2083.8905386642746
2016-05-01,2065.550802588412
2016-04-01,2075.5354385157802
2016-03-01,2021.9541054837923
2016-02-01,1904.4186784249882
2016-01-01,1918.5980937244037
2015-12-01,2054.079150157996
2015-11-01,2080.6155057322376
2015-10-01,2024.8130817406904
2015-09-01,1944.4022999828612
2015-08-01,2039.8671374063765
2015-07-01,2094.144090132139
2015-06-01,2099.2831131555677
2015-05-01,2111.941773545472
2015-04-01,2094.8629831876897
2015-03-01,2079.9905064565246
2015-02-01,2082.1970558003754
2015-01-01,2028.1793785196573
2014-12-01,2054.2655216651247
2014-11-01,2044.5727394357114
2014-10-01,1937.2751299106474
2014-09-01,1993.226128500611
2014-08-01,1961.531500125107
2014-07-01,1973.0994342555691
2014-06-01,1947.0889662094723
2014-05-01,1889.7670046475428
2014-04-01,1864.2627086515474
2014-03-01,1863.5243371304578
2014-02-01,1817.0349382614268
2014-01-01,1822.3565836138823
2013-12-01,1807.7752055802816
2013-11-01,1783.5413553571543
2013-10-01,1720.0259449774633
2013-09-01,1687.1728428288484
2013-08-01,1670.0934116476458
2013-07-01,1668.6747697077633
