Period,GDP-Quarterly (),CPI (Y-o-Y change),Unemployment rate,S&P 500 index,Monthly Home Price index,Initial Jobless Claim,Core CPI Index,Consumer Credit,Non-farm Payroll,Chicago PMI
2022-11-01,,,,3888.26301276473,,229000.0,,,,
2022-10-01,,7.75,3.7,3726.0505154390335,,219000.0,299.47,,261000.0,45.2
2022-09-01,20021700.0,8.2,3.5,3850.5218021268934,,210250.0,298.66,24980000000.0,263000.0,45.7
2022-08-01,,8.26,3.7,4158.5631338801295,392.0,246750.0,296.95,32240000000.0,315000.0,52.2
2022-07-01,,8.52,3.5,3911.730187573202,395.2,249200.0,295.28,23810000000.0,528000.0,52.1
2022-06-01,19895271.0,9.06,3.6,3898.946993554171,398.0,229500.0,294.35,40150000000.0,372000.0,56.0
2022-05-01,,8.58,3.6,4040.3598308431738,398.1,207750.0,292.29,22350000000.0,390000.0,60.3
2022-04-01,,8.26,3.6,4391.295005742777,392.9,183000.0,290.46,38070000000.0,428000.0,56.4
2022-03-01,19924100.0,8.54,3.6,4391.264982277523,386.5,207500.0,288.81,52430000000.0,431000.0,62.9
2022-02-01,,7.87,3.8,4435.980293322856,381.4,229500.0,287.88,41820000000.0,678000.0,56.3
2022-01-01,,7.48,4,4573.814823771528,373.3,244200.0,286.43,6840000000.0,467000.0,65.2
2021-12-01,20006181.0,7.04,3.9,4674.772696422577,367.2,198250.0,284.76,18900000000.0,199000.0,63.1
2021-11-01,,6.81,4.2,4667.38672972238,362.4,239000.0,283.2,39990000000.0,210000.0,61.8
2021-10-01,,6.22,4.6,4460.706522416193,358.3,291800.0,281.7,16900000000.0,531000.0,68.4
2021-09-01,19672600.0,5.39,4.7,4445.543323157054,354.6,338750.0,280.02,29910000000.0,194000.0,64.7
2021-08-01,,5.25,5.2,4454.206783418321,351.7,354000.0,279.34,14380000000.0,235000.0,66.8
2021-07-01,,5.37,5.4,4363.712751328414,348.4,387400.0,279.05,17000000000.0,943000.0,73.4
2021-06-01,19544200.0,5.39,5.9,4238.489334229291,343.3,390750.0,278.14,37690000000.0,850000.0,66.1
2021-05-01,,4.99,5.8,4167.8487928618215,337.4,441200.0,275.72,35280000000.0,559000.0,75.2
2021-04-01,,4.16,6,4141.177074988718,331.2,605000.0,273.7,18610000000.0,266000.0,72.1
2021-03-01,19216224.0,2.62,6,3910.507507792875,324.9,721250.0,271.21,25840000000.0,916000.0,66.3
2021-02-01,,1.68,6.2,3883.431615452678,319.7,782250.0,270.3,27580000000.0,379000.0,59.5
2021-01-01,,1.4,6.4,3793.7474281235336,316.7,855600.0,270.02,-1310000000.0,49000.0,63.8
2020-12-01,18924262.0,1.36,6.7,3695.3104536167434,313.5,832000.0,270.12,9730000000.0,-140000.0,59.5
2020-11-01,,1.17,6.7,3548.9921917468646,310.1,735250.0,269.89,15270000000.0,245000.0,58.2
2020-10-01,,1.18,6.9,3418.700903692111,307.0,805400.0,269.3,7230000000.0,638000.0,61.1
2020-09-01,18743720.0,1.37,7.9,3365.5167163672822,302.6,862750.0,269.26,16210000000.0,661000.0,62.4
2020-08-01,,1.31,8.4,3391.7103357845267,297.7,1028400.0,268.75,-7220000000.0,1371000.0,51.2
2020-07-01,,0.99,10.2,3207.619598463251,293.0,1366000.0,267.72,12250000000.0,1763000.0,51.9
2020-06-01,17378712.0,0.65,11,3104.6603340239312,289.9,1489250.0,266.06,8950000000.0,4800000.0,36.6
2020-05-01,,0.12,13.2,2919.6144503508076,287.3,2517600.0,265.44,-18280000000.0,2509000.0,32.3
2020-04-01,,0.33,14.7,2761.9757439233804,288.3,5029250.0,265.6,-68780000000.0,-20537000.0,35.4
2020-03-01,18989877.0,1.54,4.4,2652.392827369858,287.9,2605750.0,266.8,-12040000000.0,-701000.0,47.8
2020-02-01,,2.33,3.5,3277.3139711279823,287.0,210400.0,267.07,22330000000.0,273000.0,49.0
2020-01-01,,2.49,3.5,3278.203490584896,284.4,211250.0,266.48,12020000000.0,225000.0,42.9
2019-12-01,19215691.0,2.29,3.6,3176.749305649163,283.0,232500.0,265.92,22060000000.0,145000.0,48.9
2019-11-01,,2.05,3.6,3104.903969067806,281.2,215800.0,265.62,12510000000.0,266000.0,46.3
2019-10-01,,1.76,3.6,2977.675945047988,280.2,213500.0,265.01,18910000000.0,128000.0,43.2
2019-09-01,19130932.0,1.71,3.5,2982.1550321347977,279.2,211000.0,264.6,9510000000.0,136000.0,47.1
2019-08-01,,1.75,3.7,2897.4981329061116,277.4,214000.0,264.24,17900000000.0,130000.0,50.4
2019-07-01,,1.81,3.7,2996.1138286493456,276.9,211500.0,263.57,23290000000.0,164000.0,44.4
2019-06-01,18962175.0,1.65,3.6,2890.1662214103494,275.6,220800.0,262.8,14600000000.0,224000.0,49.7
2019-05-01,,1.79,3.6,2854.706237024494,275.0,216500.0,262.03,17090000000.0,75000.0,54.2
2019-04-01,,2,3.6,2903.8009536819854,274.7,212000.0,261.74,17500000000.0,263000.0,52.6
2019-03-01,18835411.0,1.86,3.8,2803.9830600812734,273.4,217200.0,261.37,10280000000.0,196000.0,58.7
2019-02-01,,1.52,3.8,2754.8646377540545,272.8,228500.0,260.99,15190000000.0,20000.0,64.7
2019-01-01,,1.55,4,2607.39082345099,272.0,220250.0,260.7,17050000000.0,304000.0,56.7
2018-12-01,18733741.0,1.91,3.9,2567.306760319462,270.2,219600.0,260.03,16550000000.0,312000.0,65.4
2018-11-01,,2.18,3.8,2723.229515258611,269.2,222000.0,259.48,22150000000.0,155000.0,66.4
2018-10-01,,2.52,3.8,2785.4648783235784,267.9,213250.0,258.94,25380000000.0,250000.0,58.4
2018-09-01,18699748.0,2.28,3.7,2901.500251061937,266.9,205800.0,258.44,10920000000.0,134000.0,60.4
2018-08-01,,2.7,3.8,2857.8209453042296,266.0,212000.0,258.14,20080000000.0,201000.0,63.6
2018-07-01,,2.95,3.8,2793.644122687648,265.0,214000.0,257.93,16640000000.0,157000.0,65.5
2018-06-01,18565697.0,2.87,4,2754.3525409622102,264.0,223200.0,257.3,10210000000.0,213000.0,64.1
2018-05-01,,2.8,3.8,2701.493531000587,263.3,222000.0,256.89,24560000000.0,223000.0,62.7
2018-04-01,,2.46,4,2653.6238607567657,262.5,221250.0,256.45,9260000000.0,164000.0,57.6
2018-03-01,18437127.0,2.36,4,2702.7742885762077,261.7,228600.0,256.2,11620000000.0,103000.0,57.4
2018-02-01,,2.21,4.1,2705.1546934854614,261.1,220750.0,255.75,10600000000.0,313000.0,61.9
2018-01-01,,2.07,4,2789.804027533222,259.3,236000.0,255.29,13910000000.0,200000.0,65.7
2017-12-01,18310300.0,2.11,4.1,2664.3394117341168,256.9,240200.0,254.43,18450000000.0,148000.0,67.6
2017-11-01,,2.2,4.2,2593.606269430073,256.0,241250.0,253.72,27950000000.0,228000.0,63.9
