Date,M2,S&P 500,CPI,RE Loan,Initial Claims,Revolving Credit,PMI
1871-01-01,,105.76,,,,,
1871-02-01,,104.02,,,,,
1871-03-01,,105.01,,,,,
1871-04-01,,112.01,,,,,
1871-05-01,,117.56,,,,,
1871-06-01,,118.43,,,,,
1871-07-01,,116.22,,,,,
1871-08-01,,119.57,,,,,
1871-09-01,,117.94,,,,,
1871-10-01,,110.13,,,,,
1871-11-01,,111.33,,,,,
1871-12-01,,111.22,,,,,
1872-01-01,,114.03,,,,,
1872-02-01,,114.5,,,,,
1872-03-01,,116.5,,,,,
1872-04-01,,117.1,,,,,
1872-05-01,,117.1,,,,,
1872-06-01,,116.86,,,,,
1872-07-01,,117.89,,,,,
1872-08-01,,115.6,,,,,
1872-09-01,,112.76,,,,,
1872-10-01,,115.7,,,,,
1872-11-01,,111.9,,,,,
1872-12-01,,116.29,,,,,
1873-01-01,,117.21,,,,,
1873-02-01,,115.54,,,,,
1873-03-01,,114.64,,,,,
1873-04-01,,113.07,,,,,
1873-05-01,,115.83,,,,,
1873-06-01,,117.68,,,,,
1873-07-01,,117.45,,,,,
1873-08-01,,117.45,,,,,
1873-09-01,,108.47,,,,,
1873-10-01,,101.35,,,,,
1873-11-01,,100.85,,,,,
1873-12-01,,107.71,,,,,
1874-01-01,,111.81,,,,,
1874-02-01,,115.17,,,,,
1874-03-01,,113.49,,,,,
1874-04-01,,112.09,,,,,
1874-05-01,,110.07,,,,,
1874-06-01,,112.18,,,,,
1874-07-01,,111.33,,,,,
1874-08-01,,112.43,,,,,
1874-09-01,,114.2,,,,,
1874-10-01,,115.81,,,,,
1874-11-01,,117.85,,,,,
1874-12-01,,117.07,,,,,
1875-01-01,,117.07,,,,,
1875-02-01,,116.81,,,,,
1875-03-01,,118.36,,,,,
1875-04-01,,118.88,,,,,
1875-05-01,,117.2,,,,,
1875-06-01,,116.8,,,,,
1875-07-01,,117.07,,,,,
1875-08-01,,116.56,,,,,
1875-09-01,,116.54,,,,,
1875-10-01,,114.67,,,,,
1875-11-01,,117.49,,,,,
1875-12-01,,118.56,,,,,
1876-01-01,,122.01,,,,,
1876-02-01,,123.65,,,,,
1876-03-01,,123.37,,,,,
1876-04-01,,119.83,,,,,
1876-05-01,,119.64,,,,,
1876-06-01,,122.08,,,,,
1876-07-01,,120.61,,,,,
1876-08-01,,114.58,,,,,
1876-09-01,,106.54,,,,,
1876-10-01,,104.04,,,,,
1876-11-01,,101.18,,,,,
1876-12-01,,98.84,,,,,
1877-01-01,,96.31,,,,,
1877-02-01,,93.0,,,,,
1877-03-01,,92.42,,,,,
1877-04-01,,83.34,,,,,
1877-05-01,,81.86,,,,,
1877-06-01,,80.31,,,,,
1877-07-01,,83.09,,,,,
1877-08-01,,92.37,,,,,
1877-09-01,,99.14,,,,,
1877-10-01,,101.28,,,,,
1877-11-01,,101.74,,,,,
1877-12-01,,101.43,,,,,
